Date,Temp,Dew Point,Relative Humidity,Wind Direction ,Windspeed,Pressure at the Station
01/03/2017 15:00,-6.6,-8,90,19,4,98.49
01/03/2017 16:00,-7.5,-8.5,92,0,1,98.47
01/03/2017 17:00,-7,-8,93,23,2,98.46
01/03/2017 18:00,-6.9,-7.8,93,15,2,98.46
01/03/2017 19:00,-6.6,-7.7,92,17,2,98.45
01/03/2017 20:00,-6.6,-7.7,92,21,6,98.42
01/03/2017 21:00,-6.5,-7.6,92,19,8,98.35
01/03/2017 22:00,-6.8,-7.8,93,17,4,98.34
01/03/2017 23:00,-6.9,-7.7,94,,0,98.32
01/04/2017 00:00,-7.3,-8.2,94,5,1,98.32
01/04/2017 01:00,-7.1,-8,94,1,1,98.32
01/04/2017 02:00,-6.8,-7.7,93,18,3,98.3
01/04/2017 03:00,-7,-7.9,93,27,5,98.32
01/04/2017 04:00,-7.7,-8.3,96,15,2,98.28
01/04/2017 05:00,-8,-8.9,93,33,2,98.3
01/04/2017 06:00,-8,-9.1,92,25,2,98.26
01/04/2017 07:00,-7.8,-8.7,94,10,1,98.27
01/04/2017 08:00,-8.6,-9.5,93,24,4,98.24
01/04/2017 09:00,-10.4,-11.4,92,28,1,98.25
01/04/2017 10:00,-9.2,-10.1,93,0,1,98.28
01/04/2017 11:00,-8.4,-9.5,92,23,3,98.26
01/04/2017 12:00,-7.7,-8.7,93,,0,98.21
01/04/2017 13:00,-7.4,-8.5,92,,0,98.17
01/04/2017 14:00,-7.2,-8.4,91,,0,98.14
01/04/2017 15:00,-6.9,-8.2,91,,0,98.12
01/04/2017 16:00,-6.8,-7.9,92,27,2,98.1
01/04/2017 17:00,-7.3,-8.3,93,,0,98.1
01/04/2017 18:00,-6.9,-7.8,94,20,1,98.07
01/04/2017 19:00,-6.9,-7.7,94,3,3,98.04
01/04/2017 20:00,-6.9,-7.7,94,17,1,98.01
01/04/2017 21:00,-6.7,-7.6,94,,0,98
01/04/2017 22:00,-6.6,-7.4,94,24,1,98.02
01/04/2017 23:00,-6.8,-7.7,93,,0,98.05
01/05/2017 00:00,-6.8,-7.7,94,,0,98.07
01/05/2017 01:00,-5,-5.7,95,36,7,98.1
01/05/2017 02:00,-4.6,-5.8,92,35,11,98.13
01/05/2017 03:00,-4.8,-6,91,35,14,98.17
01/05/2017 04:00,-5,-6.1,92,35,13,98.18
01/05/2017 05:00,-5.2,-6.4,91,36,14,98.19
01/05/2017 06:00,-6,-8,86,2,11,98.22
01/05/2017 07:00,-6.8,-8.1,91,1,8,98.21
01/05/2017 08:00,-7.5,-8.6,91,1,9,98.2
01/05/2017 09:00,-7.8,-9,91,36,8,98.17
01/05/2017 10:00,-7.9,-9.1,91,36,6,98.14
01/05/2017 11:00,-8,-9.3,90,2,6,98.09
01/05/2017 12:00,-8.1,-9.7,88,5,9,98
01/05/2017 13:00,-8.3,-10.3,86,7,7,97.94
01/05/2017 14:00,-8.4,-10.4,86,9,5,97.85
01/05/2017 15:00,-9.3,-11,88,9,2,97.77
01/05/2017 16:00,-9.9,-11.1,91,7,4,97.72
01/05/2017 17:00,-10,-11.4,89,9,4,97.63
01/05/2017 18:00,-10.4,-12.2,87,15,7,97.54
01/05/2017 19:00,-11.2,-13.1,86,14,5,97.52
01/05/2017 20:00,-11.9,-13.8,86,14,6,97.47
01/05/2017 21:00,-12.5,-14.4,86,14,7,97.42
01/05/2017 22:00,-13.1,-15,86,11,4,97.39
01/05/2017 23:00,-13.3,-15.1,86,14,3,97.37
01/06/2017 00:00,-13.6,-15.4,86,14,1,97.36
01/06/2017 01:00,-13.6,-15.3,87,15,2,97.35
01/06/2017 02:00,-13.7,-15.3,88,,0,97.36
01/06/2017 03:00,-13.7,-15.2,88,36,4,97.43
01/06/2017 04:00,-13.6,-15.2,88,36,6,97.45
01/06/2017 05:00,-13.4,-15,88,36,7,97.5
01/06/2017 06:00,-13.3,-14.9,88,35,6,97.57
01/06/2017 07:00,-13.3,-14.9,88,36,6,97.65
01/06/2017 08:00,-13.4,-15,88,35,4,97.72
01/06/2017 09:00,-13.3,-14.8,88,35,6,97.82
01/06/2017 10:00,-13.1,-15,86,1,12,97.95
01/06/2017 11:00,-13.1,-14.9,86,36,10,98.08
01/06/2017 12:00,-12.7,-14.7,85,36,13,98.17
01/06/2017 13:00,-12.9,-14.9,85,36,14,98.3
01/06/2017 14:00,-13.1,-15.3,84,1,14,98.46
01/06/2017 15:00,-13.7,-16.1,82,36,19,98.59
01/06/2017 16:00,-14.4,-17.1,80,2,16,98.75
01/06/2017 17:00,-15.4,-17.8,82,35,16,98.87
01/06/2017 18:00,-16,-18.5,82,35,16,99
01/06/2017 19:00,-16.5,-19.1,81,35,17,99.08
01/06/2017 20:00,-17.1,-19.7,80,35,15,99.18
01/06/2017 21:00,-17.8,-20.6,79,35,14,99.27
01/06/2017 22:00,-18.7,-21.8,77,36,17,99.36
01/06/2017 23:00,-19.1,-22.1,77,35,15,99.44
01/07/2017 00:00,-19.7,-22.7,77,36,12,99.49
01/07/2017 01:00,-20.9,-23.9,77,34,9,99.53
01/07/2017 02:00,-22.4,-25.5,76,33,9,99.57
01/07/2017 03:00,-22.9,-25.9,76,33,8,99.61
01/07/2017 04:00,-23.7,-26.5,78,33,7,99.59
01/07/2017 05:00,-24.9,-27.7,77,32,3,99.52
01/07/2017 06:00,-25.6,-28.5,77,33,3,99.52
01/07/2017 07:00,-26.3,-29.1,77,33,4,99.49
01/07/2017 08:00,-27.2,-29.9,78,33,5,99.46
01/07/2017 09:00,-27,-29.6,79,22,2,99.47
01/07/2017 10:00,-27.7,-30.5,76,18,2,99.47
01/07/2017 11:00,-26.5,-29.2,78,17,2,99.4
01/07/2017 12:00,-25.2,-28.5,74,17,2,99.3
01/07/2017 13:00,-24.3,-28.3,70,17,4,99.23
01/07/2017 14:00,-23.5,-27.7,69,17,3,99.12
01/07/2017 15:00,-23.5,-27.2,72,18,4,99.05
01/07/2017 16:00,-25.1,-27.7,79,0,1,99
01/07/2017 17:00,-28,-30.9,77,28,4,98.94
01/07/2017 18:00,-28.6,-31.4,77,24,2,98.84
01/07/2017 19:00,-29,-31.7,77,21,3,98.78
01/07/2017 20:00,-28.7,-31.6,76,19,4,98.69
01/07/2017 21:00,-29.2,-32.2,76,18,8,98.6
01/07/2017 22:00,-29,-32,75,21,6,98.51
01/07/2017 23:00,-29.4,-32.6,74,19,8,98.47
01/08/2017 00:00,-28.4,-31.3,76,22,11,98.41
01/08/2017 01:00,-29.7,-32.7,75,21,7,98.36
01/08/2017 02:00,-30,-33.1,74,19,12,98.31
01/08/2017 03:00,-29.2,-32.4,74,20,10,98.29
01/08/2017 04:00,-29.5,-32.7,74,20,14,98.26
01/08/2017 05:00,-29,-32.1,74,20,14,98.17
01/08/2017 06:00,-28.2,-31.3,75,20,12,98.2
01/08/2017 07:00,-27.8,-30.9,75,19,10,98.2
01/08/2017 08:00,-27.8,-30.8,75,20,8,98.15
01/08/2017 09:00,-27.8,-30.8,75,21,10,98.19
01/08/2017 10:00,-27.9,-31,75,20,6,98.21
01/08/2017 11:00,-27,-30,76,17,2,98.2
01/08/2017 12:00,-25.1,-28.7,72,19,3,98.16
01/08/2017 13:00,-23.8,-28.4,66,16,2,98.12
01/08/2017 14:00,-22.9,-27.8,64,18,2,98.06
01/08/2017 15:00,-23.6,-27.3,71,0,1,98.04
01/08/2017 16:00,-23,-26.3,75,,0,98.03
01/08/2017 17:00,-22.5,-25.8,75,,0,97.95
01/08/2017 18:00,-22.5,-25.3,78,5,2,97.92
01/08/2017 19:00,-21.9,-25,76,20,4,97.91
01/08/2017 20:00,-21.1,-23.8,79,0,1,97.87
01/08/2017 21:00,-22.6,-25.1,80,22,3,97.78
01/08/2017 22:00,-23.1,-25.5,81,13,2,97.77
01/08/2017 23:00,-23.1,-25.5,81,34,5,97.73
01/09/2017 00:00,-22.4,-24.9,81,19,1,97.65
01/09/2017 01:00,-22.3,-24.7,81,29,2,97.57
01/09/2017 02:00,-21.8,-24.2,81,4,2,97.57
01/09/2017 03:00,-21.8,-24.1,81,0,1,97.5
01/09/2017 04:00,-20.9,-23.2,82,0,1,97.47
01/09/2017 05:00,-21.5,-23.8,82,9,1,97.47
01/09/2017 06:00,-20.8,-23,83,0,1,97.44
01/09/2017 07:00,-20.6,-22.8,82,26,6,97.38
01/09/2017 08:00,-20.6,-22.9,82,,0,97.36
01/09/2017 09:00,-20,-22.1,83,6,1,97.36
01/09/2017 10:00,-20.4,-22.8,82,18,4,97.29
01/09/2017 11:00,-19,-21.5,81,10,2,97.2
01/09/2017 12:00,-18.4,-21,80,18,4,97.12
01/09/2017 13:00,-17.7,-20.5,79,,0,97.05
01/09/2017 14:00,-17.8,-20.9,77,23,2,96.92
01/09/2017 15:00,-17.4,-20,81,0,1,96.84
01/09/2017 16:00,-18.1,-20.1,84,14,3,96.76
01/09/2017 17:00,-18.1,-20,85,16,2,96.71
01/09/2017 18:00,-17.9,-19.8,85,21,10,96.61
01/09/2017 19:00,-17.9,-19.8,84,19,6,96.58
01/09/2017 20:00,-17.4,-19.5,83,19,4,96.59
01/09/2017 21:00,-12.7,-15.8,77,33,12,96.63
01/09/2017 22:00,-11.8,-15.2,76,34,18,96.74
01/09/2017 23:00,-12.7,-16.3,75,34,17,96.9
01/10/2017 00:00,-13.7,-16.8,78,35,14,97.01
01/10/2017 01:00,-14.2,-17.2,78,35,11,97.09
01/10/2017 02:00,-14.7,-17.3,80,1,7,97.16
01/10/2017 03:00,-15.2,-17.9,80,36,6,97.22
01/10/2017 04:00,-15.7,-18.3,81,3,4,97.19
01/10/2017 05:00,-16.9,-19.2,83,36,2,97.15
01/10/2017 06:00,-17.5,-18.9,88,15,1,97.09
01/10/2017 07:00,-18.1,-20,85,25,3,97.03
01/10/2017 08:00,-17.3,-19.3,85,23,4,96.99
01/10/2017 09:00,-18,-19.8,86,26,3,97.02
01/10/2017 10:00,-17.9,-19.8,85,19,4,97.02
01/10/2017 11:00,-17.5,-19.4,85,18,6,96.96
01/10/2017 12:00,-16.4,-18.8,82,21,4,96.91
01/10/2017 13:00,-15.3,-18.7,75,21,7,96.81
01/10/2017 14:00,-14.6,-17.1,81,21,8,96.73
01/10/2017 15:00,-14.3,-16.8,81,18,5,96.66
01/10/2017 16:00,-14.1,-16.4,82,21,4,96.56
01/10/2017 17:00,-16,-17.5,88,21,4,96.49
01/10/2017 18:00,-16,-17.4,89,20,4,96.44
01/10/2017 19:00,-17.8,-19.6,86,22,5,96.35
01/10/2017 20:00,-17.3,-19,87,18,7,96.25
01/10/2017 21:00,-16.7,-18.2,88,20,8,96.21
01/10/2017 22:00,-16,-17.7,87,19,7,96.18
01/10/2017 23:00,-16.7,-18.4,87,16,4,96.15
01/11/2017 00:00,-16.9,-18.5,88,18,6,96.08
01/11/2017 01:00,-17.8,-19.4,87,18,8,96.03
01/11/2017 02:00,-16.7,-18.4,87,18,5,96
01/11/2017 03:00,-18.8,-20.6,85,24,2,96.04
01/11/2017 04:00,-20.1,-22.3,83,27,2,96.06
01/11/2017 05:00,-18.3,-20.1,86,30,6,96.26
01/11/2017 06:00,-20.1,-22,85,31,2,96.32
01/11/2017 07:00,-19.1,-21.1,84,15,5,96.44
01/11/2017 08:00,-18.3,-20.6,83,36,4,96.53
01/11/2017 09:00,-18.6,-20.5,85,19,5,96.67
01/11/2017 10:00,-19,-21.4,81,14,3,96.78
01/11/2017 11:00,-14.8,-16.1,90,9,6,96.89
01/11/2017 12:00,-12.1,-14,86,5,8,96.95
01/11/2017 13:00,-12,-14.4,82,1,2,96.97
01/11/2017 14:00,-12.6,-15,82,4,6,96.96
01/11/2017 15:00,-13.1,-15.7,81,9,3,96.97
01/11/2017 16:00,-14.4,-17.4,78,9,3,96.99
01/11/2017 17:00,-16.2,-18.5,82,0,1,96.96
01/11/2017 18:00,-16.7,-18.9,83,10,2,96.9
01/11/2017 19:00,-16.6,-20.3,73,9,1,96.84
01/11/2017 20:00,-16.7,-21,69,13,4,96.78
01/11/2017 21:00,-17.3,-21.9,67,16,8,96.69
01/11/2017 22:00,-18.5,-22.4,71,15,3,96.63
01/11/2017 23:00,-18.9,-22.5,73,17,7,96.54
01/12/2017 00:00,-20.5,-23.6,77,19,2,96.42
01/12/2017 01:00,-21.9,-25.1,76,22,4,96.32
01/12/2017 02:00,-22.1,-24.5,81,36,2,96.3
01/12/2017 03:00,-21.8,-24.6,78,26,2,96.19
01/12/2017 04:00,-20.9,-23.2,82,19,3,96.12
01/12/2017 05:00,-21.2,-23.6,81,25,2,96.15
01/12/2017 06:00,-21.4,-23.7,81,20,6,96.09
01/12/2017 07:00,-21.5,-24,80,19,9,96.07
01/12/2017 08:00,-21.9,-24.5,79,18,9,96.09
01/12/2017 09:00,-22.1,-24.7,79,19,7,96.14
01/12/2017 10:00,-22.1,-25,77,16,4,96.19
01/12/2017 11:00,-21.5,-24.6,76,21,4,96.25
01/12/2017 12:00,-20.5,-23.7,75,0,1,96.26
01/12/2017 13:00,-20.1,-22.9,78,14,2,96.29
01/12/2017 14:00,-19.5,-22.3,79,16,2,96.37
01/12/2017 15:00,-18.4,-21.5,76,17,2,96.42
01/12/2017 16:00,-18.3,-21.2,78,,0,96.48
01/12/2017 17:00,-18,-20.5,80,0,1,96.53
01/12/2017 18:00,-17.7,-20.2,81,36,2,96.55
01/12/2017 19:00,-17.4,-19.7,82,1,2,96.54
01/12/2017 20:00,-17.1,-19.3,83,1,3,96.54
01/12/2017 21:00,-17.1,-19,85,33,3,96.52
01/12/2017 22:00,-17,-19,84,2,2,96.51
01/12/2017 23:00,-16.8,-19,83,1,3,96.49
1/13/2017 0:00,-16.8,-18.9,84,2,2,96.47
1/13/2017 1:00,-17.3,-19.3,84,36,2,96.47
1/13/2017 2:00,-18,-19.8,86,0,1,96.51
1/13/2017 3:00,-17.6,-19.5,85,0,1,96.55
1/13/2017 4:00,-17.7,-19.6,85,,0,96.57
1/13/2017 5:00,-18.1,-20,85,0,1,96.57
1/13/2017 6:00,-19.6,-21.5,85,,0,96.59
1/13/2017 7:00,-20.2,-22.2,84,0,1,96.58
1/13/2017 8:00,-20.1,-22.2,83,0,1,96.59
1/13/2017 9:00,-18.6,-20.5,85,22,1,96.62
1/13/2017 10:00,-18.1,-20,85,20,4,96.66
1/13/2017 11:00,-16.6,-18.8,83,20,5,96.66
1/13/2017 12:00,-16.3,-18.7,82,20,6,96.61
1/13/2017 13:00,-14.1,-17.7,74,17,5,96.53
1/13/2017 14:00,-12.8,-15.6,79,20,6,96.47
1/13/2017 15:00,-11.7,-13.9,83,14,2,96.45
1/13/2017 16:00,-12,-14.1,85,2,1,96.44
1/13/2017 17:00,-12.6,-14.1,88,31,2,96.42
1/13/2017 18:00,-12.5,-14.2,87,22,3,96.39
1/13/2017 19:00,-12.2,-14.1,86,22,4,96.32
1/13/2017 20:00,-11,-12.3,90,9,2,96.26
1/13/2017 21:00,-9.7,-11,90,3,5,96.13
1/13/2017 22:00,-11.5,-13,89,20,1,96.13
1/13/2017 23:00,-10.6,-11.6,92,29,1,96.04
1/14/2017 0:00,-10.3,-11.6,90,35,3,95.94
1/14/2017 1:00,-8.9,-10,92,3,1,95.93
1/14/2017 2:00,-9.7,-11.1,89,22,3,95.93
1/14/2017 3:00,-10.6,-11.5,93,22,1,95.91
1/14/2017 4:00,-11.5,-12.5,93,18,5,95.81
1/14/2017 5:00,-10.5,-11.4,93,20,4,95.75
1/14/2017 6:00,-10.9,-11.9,92,17,3,95.7
1/14/2017 7:00,-11.4,-12.5,92,20,6,95.67
1/14/2017 8:00,-11.3,-12.5,91,20,4,95.63
1/14/2017 9:00,-10.9,-12.2,91,20,7,95.61
1/14/2017 10:00,-10.8,-12.4,88,18,7,95.61
1/14/2017 11:00,-11,-12.6,88,18,7,95.59
1/14/2017 12:00,-9.9,-11.6,87,19,7,95.54
1/14/2017 13:00,-8.1,-10.4,83,22,4,95.47
1/14/2017 14:00,-8.2,-10.7,82,18,4,95.43
1/14/2017 15:00,-7.5,-10.2,81,21,4,95.43
1/14/2017 16:00,-8.1,-10.3,84,19,7,95.46
1/14/2017 17:00,-7,-8.7,87,20,8,95.43
1/14/2017 18:00,-6.3,-8.4,85,20,3,95.39
1/14/2017 19:00,-6.1,-8.2,85,20,5,95.39
1/14/2017 20:00,-4.5,-6.6,85,18,7,95.41
1/14/2017 21:00,-5.2,-7.1,86,19,8,95.45
1/14/2017 22:00,-4.9,-6.8,87,21,3,95.47
1/14/2017 23:00,-4.4,-6.4,86,18,11,95.5
1/15/2017 0:00,-4.5,-6.9,83,19,12,95.56
1/15/2017 1:00,-5,-7.3,84,21,9,95.55
1/15/2017 2:00,-5.3,-7.9,82,19,12,95.58
1/15/2017 3:00,-7.3,-9.5,85,21,9,95.59
1/15/2017 4:00,-5.9,-8.1,85,19,13,95.6
1/15/2017 5:00,-4.7,-7.4,82,21,10,95.58
1/15/2017 6:00,-4.9,-7.1,84,21,10,95.59
1/15/2017 7:00,-5.3,-7.6,84,21,15,95.61
1/15/2017 8:00,-7.4,-9.4,86,20,11,95.62
1/15/2017 9:00,-7.3,-9.3,86,20,12,95.64
1/15/2017 10:00,-6.2,-9.2,79,19,13,95.67
1/15/2017 11:00,-5.7,-9,77,18,8,95.66
1/15/2017 12:00,-3.6,-8.2,70,19,11,95.65
1/15/2017 13:00,-2.6,-7.7,68,20,8,95.64
1/15/2017 14:00,-2.5,-6.8,72,19,8,95.67
1/15/2017 15:00,-2.4,-6.7,72,19,10,95.68
1/15/2017 16:00,-2.2,-6,75,20,10,95.74
1/15/2017 17:00,-4,-7,79,23,10,95.71
1/15/2017 18:00,0.5,-4.8,67,23,13,95.67
1/15/2017 19:00,-3.8,-7,78,20,7,95.62
1/15/2017 20:00,-2.6,-6.6,74,21,11,95.59
1/15/2017 21:00,-0.6,-5.9,67,21,12,95.5
1/15/2017 22:00,-1.1,-5.4,73,17,4,95.4
1/15/2017 23:00,-0.1,-5.1,69,18,6,95.26
1/16/2017 0:00,1,-4.8,65,19,4,95.16
1/16/2017 1:00,-1.5,-5.1,77,11,2,95.02
1/16/2017 2:00,0.5,-4.7,68,18,9,94.81
1/16/2017 3:00,-1.2,-4.9,76,2,3,94.82
1/16/2017 4:00,-2.7,-4.6,87,3,3,94.78
1/16/2017 5:00,-3.2,-5.3,85,36,8,94.74
1/16/2017 6:00,-2.5,-3.8,91,5,3,94.72
1/16/2017 7:00,-5.1,-5.9,94,24,2,94.65
1/16/2017 8:00,-5.3,-6.2,93,27,5,94.59
1/16/2017 9:00,-6.4,-7.7,91,23,2,94.58
1/16/2017 10:00,-3.3,-5.4,86,23,7,94.51
1/16/2017 11:00,-4.8,-6.5,88,13,4,94.47
1/16/2017 12:00,-4.3,-7,81,20,6,94.4
1/16/2017 13:00,-3.8,-6.6,81,31,1,94.31
1/16/2017 14:00,-3.7,-6.2,83,26,4,94.31
1/16/2017 15:00,-4.1,-6.1,86,,0,94.26
1/16/2017 16:00,-5.3,-7.3,86,18,5,94.21
1/16/2017 17:00,-6.1,-8,86,26,11,94.15
1/16/2017 18:00,-5.5,-7.3,87,24,2,94.06
1/16/2017 19:00,-5.3,-7.1,87,28,7,94.02
1/16/2017 20:00,-5.7,-7.5,87,27,6,93.95
1/16/2017 21:00,-6,-8,86,21,5,93.91
1/16/2017 22:00,-6.4,-8,88,18,8,93.93
1/16/2017 23:00,-7,-8.3,90,19,7,93.93
1/17/2017 0:00,-7.2,-8.6,90,20,11,93.98
1/17/2017 1:00,-9.1,-10.4,90,22,8,93.98
1/17/2017 2:00,-6.1,-7.6,89,21,6,93.96
1/17/2017 3:00,-7.4,-8.7,90,19,6,93.99
1/17/2017 4:00,-8,-9.4,89,22,6,93.95
1/17/2017 5:00,-8,-9,93,18,4,93.97
1/17/2017 6:00,-8.5,-9.6,92,19,6,94.06
1/17/2017 7:00,-9.8,-10.6,94,27,2,94.1
1/17/2017 8:00,-10.2,-11.3,91,19,4,94.1
1/17/2017 9:00,-11.8,-13.1,90,22,5,94.13
1/17/2017 10:00,-10.7,-12.2,89,21,8,94.19
1/17/2017 11:00,-10.5,-11.7,90,31,3,94.26
1/17/2017 12:00,-10.5,-11.7,91,33,5,94.25
1/17/2017 13:00,-9.2,-10.7,89,25,5,94.26
1/17/2017 14:00,-9.8,-11.6,87,21,5,94.23
1/17/2017 15:00,-8.5,-10.2,88,31,1,94.26
1/17/2017 16:00,-9.4,-10.9,89,36,2,94.27
1/17/2017 17:00,-9.9,-11,92,29,3,94.25
1/17/2017 18:00,-10.1,-11,93,36,5,94.25
1/17/2017 19:00,-10.3,-11.2,93,14,1,94.22
1/17/2017 20:00,-10.7,-12,91,0,1,94.15
1/17/2017 21:00,-10.9,-12.1,90,21,6,94.17
1/17/2017 22:00,-10.8,-12.1,90,36,1,94.26
1/17/2017 23:00,-7.4,-8.9,89,36,13,94.23
1/18/2017 0:00,-10.7,-13.1,82,36,19,94.21
1/18/2017 1:00,-12.7,-15.4,80,35,19,94.35
1/18/2017 2:00,-13.7,-16.5,80,35,16,94.43
1/18/2017 3:00,-14.4,-17.2,79,34,14,94.42
1/18/2017 4:00,-14.6,-17.4,79,34,14,94.46
1/18/2017 5:00,-14.9,-17.9,78,33,16,94.48
1/18/2017 6:00,-15.5,-18.4,79,33,12,94.52
1/18/2017 7:00,-15.9,-18.1,83,33,15,94.53
1/18/2017 8:00,-16.2,-18.3,84,34,14,94.53
1/18/2017 9:00,-16.3,-19.3,78,34,14,94.57
1/18/2017 10:00,-16.5,-19.5,78,33,14,94.63
1/18/2017 11:00,-16.4,-19.7,76,33,15,94.67
1/18/2017 12:00,-16.7,-19.8,77,33,15,94.69
1/18/2017 13:00,-16.4,-19.9,75,34,12,94.74
1/18/2017 14:00,-16.3,-20.2,72,33,14,94.77
1/18/2017 15:00,-16.6,-20.4,73,34,15,94.79
1/18/2017 16:00,-16.7,-20.2,75,32,11,94.87
1/18/2017 17:00,-16.9,-20.2,75,33,9,94.91
1/18/2017 18:00,-17,-20.3,76,32,9,94.96
1/18/2017 19:00,-17.1,-20.3,76,33,12,94.95
1/18/2017 20:00,-17.2,-20.6,75,34,8,95
1/18/2017 21:00,-17.4,-20.3,78,32,7,95.04
1/18/2017 22:00,-17.6,-19.7,83,33,7,94.99
1/18/2017 23:00,-17.6,-19.5,85,34,6,95.01
1/19/2017 0:00,-17.7,-19.2,88,2,4,95.02
1/19/2017 1:00,-17.7,-19.3,88,33,3,95.03
1/19/2017 2:00,-17.7,-19.3,87,33,4,95
1/19/2017 3:00,-17.8,-19.5,86,4,1,94.98
1/19/2017 4:00,-18.2,-20.1,85,4,2,94.94
1/19/2017 5:00,-18.1,-20,86,2,3,94.92
1/19/2017 6:00,-18,-19.9,86,4,2,94.89
1/19/2017 7:00,-18,-19.8,86,1,2,94.86
1/19/2017 8:00,-18,-19.9,86,1,3,94.82
1/19/2017 9:00,-17.8,-19.7,86,36,2,94.8
1/19/2017 10:00,-17.3,-19.2,85,4,3,94.8
1/19/2017 11:00,-16.6,-18.4,86,3,3,94.79
1/19/2017 12:00,-15.9,-17.9,85,19,2,94.74
1/19/2017 13:00,-15.7,-17.5,87,0,1,94.66
1/19/2017 14:00,-15.5,-17.2,86,2,1,94.61
1/19/2017 15:00,-15.4,-17.1,87,0,1,94.63
1/19/2017 16:00,-15.6,-17.3,87,2,3,94.65
1/19/2017 17:00,-15.8,-17.5,87,35,3,94.68
1/19/2017 18:00,-15.8,-17.5,87,32,2,94.67
1/19/2017 19:00,-15.9,-17.6,87,5,2,94.67
1/19/2017 20:00,-15.9,-17.6,87,,0,94.64
1/19/2017 21:00,-16,-17.7,87,4,3,94.62
1/19/2017 22:00,-15.8,-17.3,88,0,1,94.65
1/19/2017 23:00,-16.1,-17.7,87,3,2,94.64
1/20/2017 0:00,-16.1,-17.6,88,,0,94.68
